Goalie,Jersey,Team,Division,Tier,GP,W,L,GA,GAA,SO
Bobby Teagarden,70,Imperium,Pittsburgh,Tier 1,9,7,2,1,0.11,0
Steve Taddonio,33,Rattlers,Boston 3,Tier 3,8,8,0,1,0.13,0
Marc Camosci,35,Squall,Carolina 3,Tier 3,7,7,0,1,0.14,0
Andrew Carter,1,Stars,Massachusetts,Tier 1,16,13,3,3,0.19,0
Sean Reilly,30,Ball Hockey Team,North Jersey 2,Tier 2,10,8,2,2,0.2,0
Matt Stanks,79,Chimney Fish,South Jersey 2,Tier 2,20,13,7,5,0.25,0
Jimmy Burkitt,1,Majestic,South Jersey 2,Tier 2,12,8,4,3,0.25,0
Jimmy Spina,35,Sound,North Jersey 2,Tier 2,19,14,5,5,0.26,0
Frank Keitz,44,716ers,Buffalo,Tier 1,10,8,2,3,0.3,0
Jim Cendrowski,51,Bantams,Pittsburgh 2,Tier 2,13,10,3,4,0.31,0
Mike Walker,31,Ball Hockey Team,North Jersey 2,Tier 2,13,10,3,4,0.31,0
Zack Thimons,39,Militia,Pittsburgh 2,Tier 2,9,6,3,3,0.33,0
Tyler Crawford,33,Owls,Massachusetts,Tier 1,15,11,4,5,0.33,0
Matt Englert,39,Wear-It,Buffalo 2,Tier 2,10,7,3,4,0.4,0
Nic Peterson,55,Bashers,California 2,Tier 2,14,13,1,6,0.43,0
James Barbier,34,Devils,Philadelphia 3,Tier 3,7,3,4,3,0.43,0
Jackson Roberts,70,Daredevils,Buffalo,Tier 1,14,6,8,6,0.43,0
Hunter McAdams,1,Rougarou,Texas 3,Tier 3,7,7,0,3,0.43,0
Evan Dubrule,1,Tropics,Massachusetts 2,Tier 2,18,14,4,8,0.44,0
John Cowan,1,Squall,Carolina 3,Tier 3,9,8,1,4,0.44,0
Sean Roach,29,Rattlers,Boston 3,Tier 3,11,7,4,5,0.45,0
Dan Cohen,35,Chiefs,South Jersey 2,Tier 2,22,16,6,10,0.45,0
Fazeel Khan,29,Counts,Indiana 3,Tier 3,13,12,1,6,0.46,0
Jordan Loftis,2,Plague,Washington DC,Tier 2,20,13,7,10,0.5,0
Chris  Casilli,35,Burger Boys,California 3,Tier 3,11,10,1,6,0.55,0
Brandon  Silvia,32,Chargers,New England 2,Tier 2,12,7,5,7,0.58,0
Tim Papagno,30,Dawgz,New Jersey,Tier 1,17,11,6,10,0.59,0
Joey Corcoran,0,Purge,Philadelphia 2,Tier 2,17,13,4,10,0.59,0
Brian  Forpahl,40,Reapers,Buffalo 2,Tier 2,10,6,4,6,0.6,0
Maxie Weiss,29,Ogopogos,Maryland 3,Tier 3,13,10,3,8,0.62,0
Christian Walleck,29,Bantams,Pittsburgh 2,Tier 2,8,5,3,5,0.63,0
Myke Dill,72,Warriors,Massachusetts 2,Tier 2,19,11,8,12,0.63,0
James Polk,13,Rougarou,Texas 3,Tier 3,11,9,2,7,0.64,0
Aaron Campisano,33,Daredevils,Buffalo,Tier 1,3,2,1,2,0.67,0
Trevor Lenzmeier,39,Cold Snacks,Pacific Northwest 3,Tier 3,15,11,4,10,0.67,0
Ray Tobias,50,Rats,Chicago 2,Tier 2,13,5,8,9,0.69,0
Richard  Leon,39,Reapers,Buffalo 2,Tier 2,10,7,3,7,0.7,0
Anthony Graser,55,Devils,Philadelphia 3,Tier 3,11,9,2,8,0.73,0
Bryce Scanlon,80,Imperium,Pittsburgh,Tier 1,13,8,5,10,0.77,0
Joe Copella,97,716ers,Buffalo,Tier 1,13,9,4,11,0.85,0
Kenny Layne,31,Vengeance,Massachusetts 2,Tier 2,13,6,7,11,0.85,0
Tyler  Galisewski,35,Dinos,Philadelphia 3,Tier 3,16,8,8,14,0.88,0
Matt Marotta,35,Hawks,New Jersey,Tier 1,20,11,9,18,0.9,0
Leo Wristen,33,Mutiny,Florida 2,Tier 2,8,7,1,8,1,0
Edward Walsh,29,Show Stoppers,Pittsburgh,Tier 1,3,2,1,3,1,0
Tyler Morris,39,Wear-It,Buffalo 2,Tier 2,13,9,4,15,1.15,0
Jack Forrest,6,Sound,North Jersey 2,Tier 2,1,1,0,3,3,0
Jeff Trojan,35,Show Stoppers,Pittsburgh,Tier 1,2,0,2,8,4,0
Kerry Bickford,1,Rattlers,Boston 3,Tier 3,1,0,1,5,5,0
Jason Makstein,1,Ogopogos,Maryland 3,Tier 3,1,0,1,8,8,0
Dominic Newman,39,Chimney Fish,South Jersey 2,Tier 2,1,0,1,0,0,0
Cam Cordio,91,Stars,Massachusetts,Tier 1,1,1,0,0,0,0
Corey Pederson,4,Chiefs,South Jersey 2,Tier 2,1,1,0,0,0,0
Aaron Scarelli,19,Warriors,Massachusetts 2,Tier 2,3,1,2,0,0,0
Pat Mccue,30,Militia,Pittsburgh 2,Tier 2,6,4,2,0,0,0
Hunter Boudreau,21,Owls,Massachusetts,Tier 1,1,1,0,0,0,0
Matt Wentworth,33,Mutiny,Florida 2,Tier 2,4,3,1,0,0,0
Scott Eberle,39,Mutiny,Florida 2,Tier 2,7,6,1,0,0,0
Brad Brey,29,Cold Snacks,Pacific Northwest 3,Tier 3,1,1,0,0,0,0
Chris  Bonanca,22,Chargers,New England 2,Tier 2,4,4,0,0,0,0
Robbie Halyama,32,Show Stoppers,Pittsburgh,Tier 1,6,3,3,0,0,0
Ryan Nix,27,Show Stoppers,Pittsburgh,Tier 1,9,7,2,0,0,0
