Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Brandon Jones,13,Leominster Stars,Massachusetts,Tier 1,5,9,6,15,0,3
Korey Wilson,72,Leominster Stars,Massachusetts,Tier 1,5,5,9,14,0,2.8
Nick Christopoulus,10,Raleigh Squall,Carolina 3,Tier 3,6,4,7,11,1.5,1.83
Josh Lodatto,21,Red River Rougarou,Texas 3,Tier 3,6,3,8,11,0,1.83
Cory Fredrickson,81,Leominster Stars,Massachusetts,Tier 1,5,1,9,10,1.5,2
Brandon Kwasny,0,Long Island Sound,North Jersey 2,Tier 2,7,8,1,9,0,1.29
Mike Minella,90,Long Island Sound,North Jersey 2,Tier 2,7,6,3,9,0,1.29
Colby Stewart,88,Red River Rougarou,Texas 3,Tier 3,6,6,3,9,0,1.5
Eric Bell,10,Maple Shade Chiefs,South Jersey 2,Tier 2,5,5,4,9,0,1.8
JD Dutney,16,Leominster Stars,Massachusetts,Tier 1,5,2,7,9,0,1.8
RJ Gibbs,86,Buffalo Wear-It,Buffalo 2,Tier 2,4,4,4,8,0,2
Ben Smith,17,Maple Shade Chiefs,South Jersey 2,Tier 2,5,6,1,7,4.5,1.4
Nick Cassetta,13,Raleigh Squall,Carolina 3,Tier 3,6,6,1,7,0,1.17
Justin Vivirito,9,Raleigh Squall,Carolina 3,Tier 3,6,5,2,7,0,1.17
Roger Roulette,47,Red River Rougarou,Texas 3,Tier 3,6,3,4,7,0,1.17
David Lane,15,Raleigh Squall,Carolina 3,Tier 3,6,0,7,7,0,1.17
Ronnie Wilson,5,Mass Vengeance,Massachusetts 2,Tier 2,5,5,1,6,0,1.2
Jeremy Warhold,24,Northside Militia,Pittsburgh 2,Tier 2,5,5,1,6,0,1.2
Travis Hood,3,Orlando Mutiny,Florida 2,Tier 2,6,5,1,6,0,1
Steve Scian,11,Marlton Dawgz,New Jersey,Tier 1,4,4,2,6,5,1.5
Kriss Lans,20,Raleigh Squall,Carolina 3,Tier 3,6,4,2,6,0,1
Rob Catalano,10,Bay Area Bashers,California 2,Tier 2,7,3,3,6,0,0.86
