Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Eric Bell,10,Maple Shade Chiefs,South Jersey 2,Tier 2,9,12,10,22,3,2.44
Ben Smith,17,Maple Shade Chiefs,South Jersey 2,Tier 2,9,7,9,16,1.5,1.78
Marty Bell,68,Maple Shade Chiefs,South Jersey 2,Tier 2,9,8,5,13,3,1.44
John Healy,37,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,7,6,13,0,2.6
Denny Schlegel,28,Buffalo 716ers,Buffalo,Tier 1,5,8,4,12,0,2.4
Jax Miller,5,Marlton Dawgz,New Jersey,Tier 1,6,7,5,12,1.5,2
Danny Cunningham,24,Penn Hills Imperium,Pittsburgh,Tier 1,5,6,6,12,1.5,2.4
Logan Hume,33,A-Town Tropics,Massachusetts 2,Tier 2,6,5,7,12,0,2
Brendan Crousey,14,Penn Hills Imperium,Pittsburgh,Tier 1,5,6,5,11,0,2.2
Eddie Botelho,11,South Coast Chargers,New England 2,Tier 2,5,6,5,11,1.5,2.2
Taras Chernetskiy,70,Steel City Show Stoppers,Pittsburgh,Tier 1,5,6,5,11,1.5,2.2
Sean Joyce,20,Arlington Plague,Washington DC,Tier 2,6,7,3,10,0,1.67
Zach Smith,92,McKeesport Magic,Pittsburgh 2,Tier 2,4,5,5,10,0,2.5
Logan Kirwan,6,A-Town Tropics,Massachusetts 2,Tier 2,6,4,6,10,1.5,1.67
John Pacheco,52,South Coast Chargers,New England 2,Tier 2,5,8,1,9,1.5,1.8
Casey Cormier,23,Mill City Warriors,Massachusetts 2,Tier 2,8,7,2,9,0,1.13
Brendan Persichetti,43,Penn Hills Imperium,Pittsburgh,Tier 1,5,5,4,9,0,1.8
Jordan Albright,97,Steel City Show Stoppers,Pittsburgh,Tier 1,5,5,4,9,4.5,1.8
Nick King,14,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,4,5,9,7.5,1.13
AJ Goetz,14,Arlington Plague,Washington DC,Tier 2,5,3,6,9,1.5,1.8
Marky  Bergamasco,88,Penn Hills Imperium,Pittsburgh,Tier 1,5,0,9,9,6,1.8
Jon Ruiz,24,Marlton Dawgz,New Jersey,Tier 1,6,6,2,8,0,1.33
Adam Holt,9,Butler Bantams,Pittsburgh 2,Tier 2,6,5,3,8,4.5,1.33
John Petito,20,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,5,3,8,0,1.6
Jeremy Warhold,24,Northside Militia,Pittsburgh 2,Tier 2,6,5,3,8,6,1.33
Gannon Warrick,98,Northside Militia,Pittsburgh 2,Tier 2,6,5,3,8,1.5,1.33
Steve Scian,11,Marlton Dawgz,New Jersey,Tier 1,6,4,4,8,6,1.33
Owen Mills,91,Penn Hills Imperium,Pittsburgh,Tier 1,5,4,4,8,0,1.6
Mike Davis,37,Lakeland Caribou,New Jersey,Tier 1,5,3,5,8,4.5,1.6
Mike Tassos,4,McKeesport Magic,Pittsburgh 2,Tier 2,4,2,6,8,0,2
Mike Henry,1,South Jersey Nights Watch,New Jersey,Tier 1,6,2,6,8,0,1.33
Michael Felsing,19,Steel City Show Stoppers,Pittsburgh,Tier 1,5,2,6,8,1.5,1.6
Brandon Harley,97,Bellmawr Hawks,New Jersey,Tier 1,6,5,2,7,7.5,1.17
Mickey Santore,0,Philadelphia Berserkers,Philadelphia 3,Tier 3,2,5,2,7,0,3.5
Phil Laboda,61,Steel City Revenge,Pittsburgh 2,Tier 2,4,5,2,7,0,1.75
John Glascoe,11,Grim City Reapers,Buffalo 2,Tier 2,4,4,3,7,0,1.75
Ryan Silva,91,Mill City Warriors,Massachusetts 2,Tier 2,8,4,3,7,0,0.88
Christian  Maselli,86,South Coast Chargers,New England 2,Tier 2,5,4,3,7,1.5,1.4
Jacob Shourds,16,South Jersey Space Pirates,South Jersey 2,Tier 2,6,4,3,7,0,1.17
Alex Gallagher,23,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,3,4,7,0,0.88
Ricky Anesin,90,Steel City Show Stoppers,Pittsburgh,Tier 1,5,3,4,7,6,1.4
Drew Albright,99,Steel City Show Stoppers,Pittsburgh,Tier 1,5,3,4,7,1.5,1.4
Caleb Cox,14,A-Town Tropics,Massachusetts 2,Tier 2,6,2,5,7,0,1.17
Matt Hummell,18,Buffalo 716ers,Buffalo,Tier 1,5,2,5,7,0,1.4
RC Double,2,Butler Bantams,Pittsburgh 2,Tier 2,6,1,6,7,3,1.17
Tom Lepage,7,South Coast Chargers,New England 2,Tier 2,5,1,6,7,0,1.4
Brandon Kwasny,0,Long Island Sound,North Jersey 2,Tier 2,6,6,0,6,0,1
Korey Wilson,72,Leominster Stars,Massachusetts,Tier 1,6,5,1,6,0,1
Zach Lampell,81,Arlington Plague,Washington DC,Tier 2,5,4,2,6,1.5,1.2
Jake Berube,17,Maryland Sparks,Washington DC,Tier 2,4,4,2,6,1.5,1.5
Kevin Roby,8,Maryland Sparks,Washington DC,Tier 2,5,4,2,6,1.5,1.2
Brandon Garneau,94,South Bay Bruins,California 2,Tier 2,2,4,2,6,0,3
Tyler Grant,91,South Jersey Space Pirates,South Jersey 2,Tier 2,6,4,2,6,1.5,1
Anthony Migliozzi,9,Steel City Show Stoppers,Pittsburgh,Tier 1,5,4,2,6,0,1.2
Dylan  Irizarry,17,Grim City Reapers,Buffalo 2,Tier 2,5,3,3,6,0,1.2
Doug Sanders,13,Lakeland Caribou,New Jersey,Tier 1,5,3,3,6,0,1.2
AJ Mills,54,Leominster Stars,Massachusetts,Tier 1,6,3,3,6,0,1
Sam Bowles,42,Maryland Sparks,Washington DC,Tier 2,6,3,3,6,1.5,1
Peyton Sylvia,2,Mass Minutemen,New England 2,Tier 2,5,3,3,6,0,1.2
Aidan Klen,13,Southside Stingrays,Chicago 2,Tier 2,4,3,3,6,0,1.5
