Goalie,Jersey,Team,Division,Tier,GP,W,L,GA,GAA,SO
Chris  Casilli,35,Burger Boys,California 3,Tier 3,7,7,0,3,0.43,0
Winston Hacking,33,Golden Eagles,Pacific Northwest 3,Tier 3,9,8,1,4,0.44,0
Tyler Morris,39,Wear-It,Buffalo 2,Tier 2,6,6,0,3,0.5,0
Danny Tibbrine,39,Mojo,South Jersey 2,Tier 2,2,2,0,1,0.5,0
Danny MacMahon,31,Crowns,Carolina 3,Tier 3,4,3,1,2,0.5,0
Jimmy Burkitt,1,Majestic,South Jersey 2,Tier 2,7,6,1,4,0.57,0
Ian Engel,31,Storm,South Jersey 2,Tier 2,5,5,0,3,0.6,0
Eric Dinkelmann,0,Shiners,California 3,Tier 3,3,2,1,2,0.67,0
Sean Reilly,30,Ball Hockey Team,North Jersey 2,Tier 2,8,6,2,6,0.75,0
Leo Wristen,33,Mutiny,Florida 2,Tier 2,4,4,0,3,0.75,0
Mike Walker,31,Ball Hockey Team,North Jersey 2,Tier 2,10,9,1,8,0.8,0
Nic Peterson,55,Bashers,California 2,Tier 2,6,6,0,5,0.83,0
Fazeel Khan,29,Counts,Indiana 3,Tier 3,8,8,0,7,0.88,0
Dan Cohen,35,Chiefs,South Jersey 2,Tier 2,8,6,2,7,0.88,0
Nick  Lewanksi,33,Snipers,Chicago 2,Tier 2,10,9,1,9,0.9,0
Daniel Shaburov,22,Rush,California 3,Tier 3,1,1,0,1,1,0
Sam Kaplan,33,Bears,Pacific Northwest 3,Tier 3,1,0,1,1,1,0
Jim Cendrowski,51,Bantams,Pittsburgh 2,Tier 2,6,5,0,5,1,0
Patrick McCall,81,Counts,Indiana 3,Tier 3,0,0,0,1,1,0
Andrew Gullett,31,Marksmen,Texas 3,Tier 3,2,2,0,2,1,0
Thayne Lentz,19,D5 Ducks,Florida 2,Tier 2,1,1,0,1,1,0
Eric Kroeker,90,Shiners,California 3,Tier 3,2,1,1,2,1,0
Blake Clatterbuck,21,Mastodons,Indiana 3,Tier 3,2,1,1,2,1,0
Hunter Boudreau,21,Owls,Massachusetts,Tier 1,1,1,0,1,1,0
Marc Camosci,35,Squall,Carolina 3,Tier 3,4,4,0,4,1,0
Brad Brey,29,Cold Snacks,Pacific Northwest 3,Tier 3,1,1,0,1,1,0
Anton Muth,2,Stingrays,Chicago 2,Tier 2,1,0,1,1,1,0
Zac Robideau,12,Wolverines,Massachusetts 2,Tier 2,1,0,1,1,1,0
Scott Eberle,39,Mutiny,Florida 2,Tier 2,7,6,1,8,1.14,0
James Polk,13,Rougarou,Texas 3,Tier 3,7,6,1,8,1.14,0
Robert Neal,29,Storm,South Jersey 2,Tier 2,5,3,2,6,1.2,0
Zack Thimons,39,Militia,Pittsburgh 2,Tier 2,6,5,0,6,1.2,0
Paul Barrett,49,Space Pirates,South Jersey 2,Tier 2,10,9,1,12,1.2,0
Mike McKenna,15,Moonshiners,Philadelphia 3,Tier 3,10,9,1,12,1.2,0
Anthony Graser,55,Devils,Philadelphia 3,Tier 3,4,4,0,5,1.25,0
Jason Rocha,27,Blue Devils,New England 2,Tier 2,6,3,1,5,1.25,0
Joey Corcoran,0,Purge,Philadelphia 2,Tier 2,9,7,2,12,1.33,0
Dan Supon,27,Squids,Buffalo 2,Tier 2,3,2,1,4,1.33,0
Trevor Lenzmeier,39,Cold Snacks,Pacific Northwest 3,Tier 3,11,9,2,15,1.36,0
Richard  Leon,39,Reapers,Buffalo 2,Tier 2,5,5,0,7,1.4,0
Robby Mangini,72,Mavericks,New Jersey,Tier 1,5,2,3,7,1.4,0
Matt Englert,39,Wear-It,Buffalo 2,Tier 2,7,6,1,10,1.43,0
Tyler Crawford,33,Owls,Massachusetts,Tier 1,7,6,1,10,1.43,0
Frank Keitz,44,716ers,Buffalo,Tier 1,6,6,0,9,1.5,0
John Littleton,30,Shiners,California 3,Tier 3,4,3,1,6,1.5,0
Dom Massaro,39,Minutemen,New England 2,Tier 2,4,1,1,3,1.5,0
Jeff Trojan,35,Magic,Pittsburgh 2,Tier 2,6,3,1,6,1.5,0
Chad Turner,27,Predators,Buffalo 2,Tier 2,11,6,5,17,1.55,0
Sean Roach,29,Rattlers,Boston 3,Tier 3,9,6,3,14,1.56,0
Tyler  Galisewski,35,Dinos,Philadelphia 3,Tier 3,7,6,1,11,1.57,0
Karl Mueller,20,Marksmen,Texas 3,Tier 3,10,7,3,16,1.6,0
Robbie Snyder,31,Caribou,New Jersey,Tier 1,8,5,3,13,1.63,0
Andrew Carter,1,Stars,Massachusetts,Tier 1,8,7,1,13,1.63,0
Joe Copella,97,716ers,Buffalo,Tier 1,6,5,1,10,1.67,0
Cale Bowman,37,Crowns,Carolina 3,Tier 3,6,3,3,10,1.67,0
Chris Thibault,31,Norsemen,Massachusetts 2,Tier 2,10,8,2,17,1.7,0
Steve Taddonio,33,Rattlers,Boston 3,Tier 3,7,7,0,12,1.71,0
Brian Howes,1,Raiders,Chicago 2,Tier 2,4,1,2,7,1.75,0
Ben Platz,31,Donkeys,Indiana 3,Tier 3,5,3,1,7,1.75,0
Mike Zambon,35,Demons,Philadelphia 2,Tier 2,4,3,1,7,1.75,0
John Cowan,1,Squall,Carolina 3,Tier 3,4,3,1,7,1.75,0
Evan Dubrule,1,Tropics,Massachusetts 2,Tier 2,9,9,0,16,1.78,0
Ben Berger,29,Blazers,Maryland 3,Tier 3,10,5,4,16,1.78,0
Sean Kelly,32,Sauce,California 2,Tier 2,10,4,6,18,1.8,0
Brian Wiernicki,31,Thunder,Florida 2,Tier 2,11,8,3,20,1.82,0
Brian  Forpahl,40,Reapers,Buffalo 2,Tier 2,7,5,2,13,1.86,0
Thomas Adesso,33,Massive,Texas 3,Tier 3,9,4,5,17,1.89,0
Jon Krause,5,Haze,Washington DC,Tier 2,11,8,3,21,1.91,0
Nick Molinari,1,Sea Bass,Massachusetts,Tier 1,4,2,2,8,2,0
Josh Cargen,26,Cavalrymen,Philadelphia 3,Tier 3,2,0,1,2,2,0
Shane Dooley,31,Sharks,Philadelphia 3,Tier 3,3,1,2,6,2,0
Adam Cohen,31,Sharks,Philadelphia 3,Tier 3,4,1,3,8,2,0
Mike Durden,40,Minutemen,New England 2,Tier 2,2,2,0,4,2,0
